Pais,Miembro
Tuvalu,Australia & Pacific
Papua New Guinea,Australia & Pacific
Solomon Islands,Australia & Pacific
Vietnam,Asia
Venezuela,South America
Venezuela,OPEC
Tajikistan,Prev. Soviet Rep.
Tajikistan,Asia
Taiwan,Asia
Syria,Asia
Syria,Middle east
Sri Lanka,Asia
Tanzania,Africa
Tonga,Australia & Pacific
United Arab Emirates,Asia
United Arab Emirates,OPEC
United Arab Emirates,Middle east
Uruguay,South America
Uganda,Africa
Turkmenistan,Prev. Soviet Rep.
Turkmenistan,Asia
Thailand,Asia
Thailand,ASEAN
Thailand,OPEC
Togo,Africa
Somalia,Africa
Trinidad and Tobago,North America
Equatorial Guinea,Africa
Eritrea,Africa
Mozambique,Africa
Libya,Africa
Libya,OPEC
Ethiopia,Africa
Cuba,North America
Gabon,Africa
Gabon,OPEC
French Guyana,South America
Cyprus,Asia
Costa Rica,North America
Afghanistan,Asia
Brunei,Asia
Brunei,ASEAN
Mexico,OECD
Mexico,North America
Mexico,NAFTA
Liberia,Africa
Bahrain,Asia
Bahrain,OPEC
Bahrain,Middle east
Bangladesh,Asia
Lesotho,Africa
Gambia,Africa
Antigua,North America
Bolivia,South America
Algeria,Africa
Algeria,OPEC
Qatar,Asia
Laos,Asia
South Korea,Asia
Israel,Asia
Israel,Middle east
Peru,South America
Paraguay,South America
Uzbekistan,Prev. Soviet Rep.
Uzbekistan,Asia
Yemen,Asia
Yemen,OPEC
Yemen,Middle east
North Korea,Asia
Iraq,Asia
Iraq,OPEC
Iraq,Middle east
Philippines,Asia
Sierra Leone,Africa
Nepal,Asia
Swaziland,Africa
Tunisia,Africa
Honduras,North America
Suriname,South America
Ghana,Africa
Haïti,North America
Angola,Africa
Bahamas,North America
Belize,North America
Benin,Africa
Bhutan,Asia
Burkina Faso,Africa
Burma,Asia
Burundi,Africa
Cambodia,Asia
Central African Republic,Africa
Colombia,South America
"Congo, Republic of the",Africa
Djibouti,Africa
Dominica,South America
Dominican Republic,North America
Egypt,Asia
Egypt,Africa
Egypt,Middle east
El Salvador,North America
Ecuador,South America
Ecuador,OPEC
Grenada,North America
Guadeloupe,North America
Guatemala,North America
Guinea,Africa
Guinea-Bissau,Africa
Indonesia,Asia
Indonesia,ASEAN
Indonesia,OPEC
Iran,Asia
Iran,OPEC
Iran,Middle east
Ivory coast,Africa
Kenya,Africa
Kyrgyzstan,Prev. Soviet Rep.
Kyrgyzstan,Asia
Kuwait,Asia
Kuwait,OPEC
Kuwait,Middle east
Madagascar,Africa
Maldives,Asia
Martinique,North America
Mauritania,Africa
Mauritius,Africa
