Fecha,Cliente,Ventas
3/13/93,Med Trade,"1,200"
3/22/93,Med Trade,"1,000"
3/30/93,Millisoft,"1,059"
4/4/93,Millisoft,930
4/10/93,Mitsibushi Light Industries,"1,270"
4/18/93,Moe's Laundromat,"1,039"
4/24/93,Moe's Laundromat,959
4/29/93,Moe's Laundromat,"1,230"
5/6/93,Moe's Laundromat,"1,850"
5/15/93,Moe's Laundromat,"1,850"
5/22/93,Moe's Laundromat,"1,850"
5/28/93,Moldavian Vines,"1,850"
6/4/93,Mombasa Airways,"2,000"
6/10/93,Monday Motor,"1,400"
6/19/93,Moon Computers,"1,400"
6/26/93,Moose Manure AB,"1,400"
7/4/93,Multibank,"1,400"
7/9/93,Napa Ultrasonic,"2,210"
7/16/93,Neumann & Fritz,"1,829"
7/23/93,New-Kia Computers,"1,940"
7/28/93,Newzda,"1,800"
8/5/93,NyBro Medical equipment,"1,800"
8/11/93,NyBro Medical equipment,"1,800"
8/16/93,Outdoors Corp,"1,800"
8/25/93,Pacific Development,"1,500"
9/3/93,Param SBN,"2,120"
9/11/93,Pei-Akei Bank,"2,030"
9/17/93,Pey-Ote,"2,030"
9/26/93,PW Service,"1,410"
10/5/93,Red Star Corp,"2,120"
10/13/93,Rocher & Colate,"1,900"
10/18/93,Royce & Co. Ltd,"2,120"
10/22/93,S'clock AktienGesellshaft,"1,640"
10/26/93,SamYang Electronic Devices,"1,739"
10/30/93,SamYang Electronic Devices,"1,739"
11/2/93,Shamrack Café,"1,739"
11/5/93,Shitoba,"1,739"
11/10/93,Siberian Trade,"1,450"
11/13/93,Silverstar,"1,940"
11/16/93,Sky Dive Equipment,"1,970"
11/19/93,Sky Dive Equipment,"1,640"
11/24/93,Sommerthur,"1,640"
11/27/93,Sputnik Trading,"1,640"
12/2/93,Standard Centered,"1,640"
12/5/93,Standard Centered,"1,580"
12/9/93,Stella Drugs Inc,"2,200"
12/14/93,Stella Drugs Inc,"1,640"
12/18/93,Strutz Wolfcat Motors Inc,"2,150"
12/22/93,Strutz Wolfcat Motors Inc,"1,889"
12/26/93,Technology Industries,"1,829"
12/29/93,The Asian Trade House,"1,850"
1/3/94,The Asian Trade House,"1,610"
1/7/94,The Asian Trade House,"1,850"
1/12/94,The Asian Trade House,"2,210"
1/16/94,The Asian Trade House,"2,009"
1/19/94,The Asian Trade House,"1,700"
1/23/94,The Asian Trade House,"1,700"
1/27/94,The Asian Trade House,"1,580"
1/30/94,The Asian Trade House,"2,060"
2/3/94,The Asian Trade House,"1,940"
2/8/94,The Asian Trade House,"1,640"
2/13/94,The Asian Trade House,"1,640"
2/17/94,The Asian Trade House,"1,640"
2/22/94,The Asian Trade House,"1,829"
2/27/94,The Asian Trade House,"1,200"
3/2/94,The Karachi Express,"1,390"
3/6/94,The Kazach Dairy Center,"2,090"
3/11/94,The Mongolian Barbecue House,"2,090"
3/15/94,The Noodle Shop,"2,090"
3/18/94,The Noodle Shop,"2,090"
3/22/94,The Noodle Shop,"2,090"
3/26/94,Unallgemeine Elektrische GmbH,"2,090"
3/31/94,Unallgemeine Elektrische GmbH,"2,090"
4/4/94,Unallgemeine Elektrische GmbH,"2,090"
4/9/94,Veliotti,"2,090"
4/14/94,Veliotti,"2,090"
4/17/94,Vienna Music Shop,"2,000"
4/22/94,Westman Koyak,"2,189"
4/26/94,"Wolfen, Franken & Stein","1,910"
4/29/94,"Wolfen, Franken & Stein","2,150"
